"Dictamen";"Antiguedad.Trabajo";"Vivienda";"Plazo";"Edad";"Estado.civil";"Registros";"Tipo.trabajo";"Gastos";"Ingresos";"Patrimonio";"Cargas.patrimoniales";"Importe.solicitado";"Precio.del.bien.financiado"
"positiu";9;"lloguer";60;30;"casat";"reg_no";"Auto";73;129;0;0;800;846
"positiu";17;"lloguer";60;58;"vidu";"reg_no";"Fix";48;131;0;0;1000;1658
"negatiu";10;"escriptura";36;46;"casat";"reg_si";"Auto";90;200;3000;0;2000;2985
"positiu";0;"lloguer";60;24;"solter";"reg_no";"Fix";63;182;2500;0;900;1325
"positiu";0;"lloguer";36;26;"solter";"reg_no";"Fix";46;107;0;0;310;910
"positiu";1;"escriptura";60;36;"casat";"reg_no";"Fix";75;214;3500;0;650;1645
"positiu";29;"escriptura";60;44;"casat";"reg_no";"Fix";75;125;10000;0;1600;1800
"positiu";9;"pares";12;27;"solter";"reg_no";"Fix";35;80;0;0;200;1093
"positiu";0;"escriptura";60;32;"casat";"reg_no";"Auto";90;107;15000;0;1200;1957
"negatiu";0;"pares";48;41;"casat";"reg_no";"Temp";90;80;0;0;1200;1468
"positiu";6;"escriptura";48;34;"casat";"reg_no";"Auto";60;125;4000;0;1150;1577
"positiu";7;"escriptura";36;29;"casat";"reg_no";"Fix";60;121;3000;0;650;915
"positiu";8;"escriptura";60;30;"casat";"reg_no";"Fix";75;199;5000;2500;1500;1650
"positiu";19;"contr_privat";36;37;"casat";"reg_no";"Fix";75;170;3500;260;600;940
"negatiu";0;"altres viv";18;21;"solter";"reg_si";"Temp";35;50;0;0;400;500
"positiu";0;"escriptura";24;68;"casat";"reg_no";"Fix";75;131;4162;0;900;1186
"positiu";15;"contr_privat";24;52;"solter";"reg_no";"Auto";35;330;16500;0;1500;2201
"positiu";33;"lloguer";24;68;"casat";"reg_no";"Auto";65;200;5000;2000;600;1350
"negatiu";0;"ignora_cont";48;36;"casat";"reg_no";"Temp";45;130;750;0;1100;1511
"positiu";1;"pares";60;31;"solter";"reg_no";"Fix";35;137;0;0;1250;1253
"negatiu";2;"lloguer";60;25;"solter";"reg_no";"Fix";46;107;0;0;1500;2189
"positiu";5;"escriptura";60;22;"solter";"reg_no";"Fix";45;324;10000;0;1100;1159
"negatiu";1;"escriptura";60;45;"casat";"reg_no";"Temp";105;112;2000;500;600;1332
"positiu";27;"lloguer";60;41;"casat";"reg_no";"Fix";74;140;0;0;950;1497
"positiu";26;"escriptura";60;51;"casat";"reg_no";"Fix";45;143;3500;0;1350;1357
"positiu";12;"escriptura";36;54;"casat";"reg_no";"Fix";60;130;4000;0;700;2100
"positiu";19;"escriptura";60;43;"solter";"reg_no";"Fix";75;180;4000;0;1000;1070
"positiu";15;"escriptura";36;43;"casat";"reg_no";"Fix";75;251;4000;0;1800;2557
"negatiu";3;"escriptura";24;23;"casat";"reg_no";"Fix";75;85;5000;0;600;1600
"negatiu";0;"VivUnkown";48;37;"solter";"reg_no";"WTUnk";35;99999999;99999999;99999999;1500;1850
"positiu";4;"escriptura";48;29;"casat";"reg_no";"Fix";45;150;5000;3300;1100;1312
"negatiu";0;"escriptura";36;23;"solter";"reg_no";"Temp";45;122;2500;0;400;400
"positiu";14;"contr_privat";24;51;"casat";"reg_no";"Temp";75;198;1000;0;450;650
"positiu";10;"escriptura";36;39;"casat";"reg_no";"Auto";75;150;3000;0;1000;1394
"positiu";12;"pares";36;35;"solter";"reg_no";"Fix";35;170;0;0;1100;1542
"positiu";32;"escriptura";24;62;"casat";"reg_no";"Auto";45;119;8500;0;700;1200
"positiu";10;"escriptura";24;56;"casat";"reg_no";"Auto";45;208;13500;0;500;1560
"positiu";7;"escriptura";48;32;"casat";"reg_no";"Fix";75;115;3000;0;800;1200
"negatiu";1;"lloguer";54;36;"casat";"reg_no";"Fix";70;99;0;0;950;950
"positiu";30;"escriptura";60;64;"casat";"reg_no";"Fix";45;120;14000;0;1125;1300
"negatiu";5;"lloguer";48;31;"solter";"reg_no";"Fix";44;90;0;0;1300;1700
"positiu";24;"escriptura";60;42;"casat";"reg_no";"Fix";75;137;4000;0;900;1167
"positiu";0;"escriptura";60;61;"vidu";"reg_no";"Other";35;230;50000;0;950;1150
"negatiu";0;"escriptura";60;32;"casat";"reg_si";"Fix";45;142;7000;3000;1250;1566
"negatiu";2;"escriptura";60;43;"casat";"reg_no";"Temp";75;71;3000;0;1500;1552
"positiu";1;"pares";60;26;"solter";"reg_no";"Temp";35;120;0;0;1150;1300
"positiu";1;"escriptura";60;49;"vidu";"reg_no";"Auto";35;233;15900;4500;2100;2104
"positiu";15;"escriptura";36;47;"casat";"reg_no";"Fix";75;289;3500;0;1500;2154
"negatiu";2;"lloguer";36;27;"separat";"reg_no";"Fix";48;128;0;0;450;545
"positiu";25;"escriptura";36;52;"casat";"reg_no";"Auto";60;150;15000;0;750;1778
"positiu";8;"escriptura";60;28;"casat";"reg_no";"Fix";60;145;4000;1000;1600;1718
"positiu";5;"escriptura";60;31;"casat";"reg_no";"Fix";75;90;4000;0;900;1500
"positiu";0;"lloguer";60;32;"casat";"reg_no";"Fix";105;301;0;0;1200;1274
"positiu";5;"escriptura";36;51;"casat";"reg_no";"Auto";75;200;2100;1200;900;1015
"positiu";3;"pares";12;37;"casat";"reg_no";"Auto";60;150;500;0;500;1701
"negatiu";1;"lloguer";48;29;"casat";"reg_si";"Auto";85;100;0;0;1000;1345
"positiu";7;"pares";60;26;"solter";"reg_no";"Fix";35;100;0;0;1000;1238
"positiu";4;"pares";30;27;"solter";"reg_no";"Fix";45;100;5000;0;500;1048
"positiu";6;"escriptura";24;63;"casat";"reg_no";"Fix";60;155;4000;0;600;1048
"positiu";14;"escriptura";24;55;"casat";"reg_no";"Fix";90;715;5000;0;800;1324
"positiu";3;"lloguer";60;28;"casat";"reg_no";"Fix";70;245;0;0;1830;2201
"positiu";8;"lloguer";48;31;"casat";"reg_no";"Fix";90;150;0;0;1100;1430
"negatiu";4;"pares";42;27;"solter";"reg_no";"Fix";35;70;0;0;600;926
"positiu";22;"escriptura";24;40;"casat";"reg_no";"Fix";75;190;3000;0;1000;1500
"positiu";2;"escriptura";36;35;"casat";"reg_no";"Fix";75;152;3000;0;1000;1542
"positiu";15;"contr_privat";60;43;"casat";"reg_no";"Fix";75;126;3000;0;1350;1360
"positiu";10;"escriptura";18;34;"casat";"reg_no";"Auto";75;181;4000;0;600;1000
"positiu";4;"escriptura";60;37;"casat";"reg_no";"Fix";60;185;3000;0;1200;1564
"positiu";9;"escriptura";60;53;"casat";"reg_no";"Fix";45;170;2500;0;850;1205
"positiu";22;"lloguer";60;46;"casat";"reg_no";"Fix";93;176;7500;0;2000;2200
"positiu";18;"pares";36;36;"casat";"reg_no";"Auto";60;238;0;0;900;2214
"positiu";1;"contr_privat";60;46;"casat";"reg_no";"Fix";60;115;5500;800;1000;1137
"positiu";14;"escriptura";48;43;"casat";"reg_no";"Fix";45;200;9000;0;600;1025
"positiu";8;"escriptura";36;31;"casat";"reg_si";"Auto";75;411;9000;4000;800;1593
"positiu";5;"escriptura";24;43;"casat";"reg_no";"Fix";75;93;3000;0;700;1735
"positiu";19;"lloguer";60;38;"casat";"reg_no";"Fix";86;108;0;0;1000;1132
"positiu";14;"escriptura";12;37;"casat";"reg_no";"Auto";90;500;4000;0;500;1338
"positiu";0;"altres viv";36;46;"casat";"reg_si";"Other";45;45;0;0;900;1100
"positiu";9;"lloguer";36;55;"casat";"reg_no";"Fix";70;250;30000;0;1750;2276
"positiu";29;"escriptura";48;56;"casat";"reg_no";"Fix";45;100;3000;0;900;1360
"positiu";10;"escriptura";36;55;"casat";"reg_no";"Fix";60;70;4000;0;1000;1436
"positiu";10;"pares";36;52;"casat";"reg_no";"Fix";60;150;0;0;550;612
"negatiu";1;"escriptura";36;29;"casat";"reg_no";"Fix";60;70;4500;0;850;1100
"positiu";11;"escriptura";60;39;"divorciat";"reg_si";"Fix";35;263;2500;0;1000;1300
"positiu";10;"escriptura";60;38;"casat";"reg_no";"Auto";75;200;9000;0;1000;2089
"positiu";5;"escriptura";24;24;"solter";"reg_no";"Fix";35;78;6000;3000;500;2262
"positiu";10;"lloguer";60;28;"solter";"reg_no";"Fix";47;120;0;0;600;1054
"positiu";27;"escriptura";60;53;"casat";"reg_no";"Fix";60;125;10000;0;1426;1426
"negatiu";0;"lloguer";60;25;"solter";"reg_no";"Temp";40;50;0;0;1040;1048
"negatiu";25;"lloguer";60;62;"casat";"reg_no";"Fix";60;146;0;0;1000;1292
"positiu";3;"pares";60;29;"solter";"reg_no";"Fix";35;70;0;0;950;1177
"negatiu";9;"pares";60;32;"solter";"reg_si";"Fix";35;105;0;0;1490;1490
"positiu";4;"lloguer";36;21;"casat";"reg_no";"Auto";101;413;6000;0;750;850
"positiu";6;"lloguer";36;38;"casat";"reg_no";"Auto";95;500;25000;21400;800;1011
"positiu";9;"lloguer";48;56;"casat";"reg_no";"Auto";140;350;0;0;1400;1571
"positiu";3;"escriptura";36;41;"casat";"reg_no";"Auto";75;200;3000;0;1000;1000
"negatiu";22;"altres viv";36;46;"casat";"reg_no";"Fix";45;138;0;0;250;270
"positiu";3;"escriptura";60;54;"vidu";"reg_no";"Other";35;80;4000;0;950;1382
"positiu";30;"escriptura";36;51;"casat";"reg_no";"Auto";120;208;15000;0;1500;1713
"positiu";8;"lloguer";60;52;"casat";"reg_no";"Fix";89;137;4000;0;800;1086
"positiu";38;"escriptura";48;57;"casat";"reg_no";"Auto";45;58;12000;0;1500;3262
"positiu";2;"lloguer";60;33;"casat";"reg_no";"Fix";73;130;0;0;1100;1610
"positiu";4;"escriptura";60;33;"casat";"reg_no";"Fix";75;123;6000;1000;600;1030
"negatiu";0;"lloguer";36;29;"casat";"reg_no";"Temp";78;180;0;0;650;650
"negatiu";2;"altres viv";48;23;"solter";"reg_no";"Fix";35;140;0;0;1950;2175
"positiu";8;"escriptura";24;33;"casat";"reg_no";"Fix";75;315;4500;0;400;1780
"negatiu";1;"lloguer";36;24;"casat";"reg_no";"Temp";76;164;0;0;900;950
